"first(Company, false)","first(SpecificBeanOrigin, false)",avg(Rating)
Cote d' Or (Kraft),Sensations Intense,1.0
Machu Picchu Trading Co.,Peru,1.875
Callebaut,Grenade,1.875
Majani,Ecuador,2.0
Jacque Torres,Trinatario Treasure,2.0
Ki' Xocolatl,Dark,2.0
Love Bar,Nicaragua,2.0
Dolfin (Belcolade),Africa,2.25
Shark's,Hilo,2.25
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",2.375
Marsatta,Dominican Republic,2.375
Paul Young,"Madagascar, w/ shell",2.5
Raw Cocoa,Raw,2.5
Mita,Tumaco,2.5
Cacao Arabuco,Puerto Rico,2.5
Pinellas,Wampusirpi Region,2.5
Oakland Chocolate Co.,Jamaica,2.5
Sibu Sura,Peru,2.5
Hachez,Arriba,2.5
Whittakers,Ghana,2.5
Chocolate Alchemist-Philly,"\"Tumbes, \"\"Zarumilla\"\"\"",2.5
Garden Island,"Kaua'I, Alea Estate +world",2.5
Desbarres,"Kilombero, batch 41",2.5
Chocolats Privilege,Xoconusco,2.5
Neuhaus (Callebaut),Papua New Guinea,2.5
Indah,India (south),2.5
Lake Champlain (Callebaut),Tanzania,2.5
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007",2.5
Chocovivo,Tabasco,2.5
Honest,"Ecuador, w/ nibs",2.5
Menakao (aka Cinagra),Madagascar,2.5
Green & Black's (ICAM),Dark,2.5
Cacao Atlanta,Tumbes,2.5
Loiza,Puerto Rico,2.5
La Oroquidea,Peruvian Amazon,2.5
Ethel's Artisan (Mars),"Peru, Madagascar",2.55
Snake & Butterfly,Ghana,2.5833333333333335
Chocolarder,Peru,2.5833333333333335
StRita Supreme,"Samar, East Visayas region",2.5833333333333335
Pomm (aka Dead Dog),"La Red, 2011",2.625
SRSLY,Dominican Republic,2.625
Pascha,Peru,2.625
Olivia,Carribean-Raw,2.625
Vanleer (Barry Callebaut),Manhattan,2.625
Xocolla,"Sambirano, batch 170102",2.625
TCHO,West Africa,2.65625
Vivra,Peru,2.6666666666666665
La Chocolaterie Nanairo,"Lumas, 2015 Harvest, Batch 6, brown sugar",2.6875
Dormouse,Non Pariel Estate,2.6875
Bisou,"Nicaragua, American style",2.6875
Nathan Miller,Peru,2.6875
Cacao Barry,Grand 'Anse,2.7
Alain Ducasse,Trinite,2.7
Chokolat Elot (Girard),Guadeloupe,2.75
Seaforth,Dominican Republic,2.75
Summerbird,Peru,2.75
Baravelli's,single estate,2.75
Chuao Chocolatier (Pralus),Chuao,2.75
Pura Delizia,Venezuela,2.75
Mindo,Ecuador,2.75
Bronx Grrl Chocolate,Dominican Republic,2.75
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",2.75
Black River (A. Morin),Blue Mountain Region,2.75
Jordis,Madagascar,2.75
Cello,Ecuador,2.75
Beehive,"Brazil, Batch 20316",2.75
Rain Republic,Suchitepequez E.,2.75
Bowler Man,Maya Mountain,2.75
Kyya,Uganda,2.75
Omanhene,Ghana,2.75
Chaleur B,Uganda,2.75
Solkiki,"Maranon, Fortunato No. 4",2.75
Eclat (Felchlin),"Maranon, Good & Evil, w/ nibs",2.75
Dalloway,"Dominican Republic, batch 7",2.75
Manifesto Cacao,Colombia,2.75
De Villiers,Bundibugyo District,2.75
Fearless (AMMA),"Monte Alegre, D. Badaro, Raw, Organic",2.75
Cacaoyere (Ecuatoriana),Amazonia,2.75
Svenska Kakaobolaget,Sri Lanka,2.75
Kaoka (Cemoi),Noir,2.75
Tabal,Costa Rica,2.75
Cemoi,Equateur,2.75
Santome,Sao Tome,2.75
Chocolate Conspiracy,Peru,2.75
Bernachon,Nature,2.75
Durand,Madagascar,2.75
Heilemann,Peru,2.75
Feitoria Cacao,Blue Mountain,2.75
Nibble,Patanemo,2.75
Finca,Puerto Rico,2.75
Nahua,"Costa Rica, Oscuro",2.75
Forever Cacao,Rio Eni,2.75
Confluence,"Tien Giang, 2015, batch 10-2-16",2.75
Forteza (Cortes),Dominican Republic,2.75
Rozsavolgyi,Sur del Lago,2.7857142857142856
Escazu,Rio Caribe,2.8
Davis,Ghana,2.8125
Ara,Madagascar,2.8125
Mutari,"Kokoa Kamili, batch 1 SRB",2.8125
Wilkie's Organic,Amazonas,2.8125
Hotel Chocolat,"Pepiniere, single Cote",2.8333333333333335
Black Mountain,La Red,2.8333333333333335
Grenada Chocolate Co.,Grenada,2.8333333333333335
Caoni (Tulicorp),Esmeraldas,2.8333333333333335
Choklat,Ocumare,2.85
organicfair,Maya Mountain,2.85
Hoja Verde (Tulicorp),Arriba,2.85
Altus aka Cao Artisan,Momotombo,2.85
Kallari (Ecuatoriana),Sisa 36hr/ W. F. blend prototype,2.875
Hacienda El Castillo,Don Homero- Cerecita Valley,2.875
Suruca Chocolate,Venezuela,2.875
Theo,Congo w/ nibs,2.875
iQ Chocolate,"Satipo region, white label",2.875
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2.875
Mana,Ecuador,2.875
Quetzalli (Wolter),"Mexico, Lot 28022016",2.875
Sjolinds,Ghana,2.875
Amatller (Simon Coll),Ghana,2.875
Chchukululu (Tulicorp),Arriba,2.875
Undone,Matagalpa,2.875
Ohiyo,"San Juan Estate, Gran Couva",2.875
Damson,Robson Estate,2.875
C-Amaro,Cuba,2.892857142857143
Chocolate Con Amor,Wild Bolivian,2.892857142857143
El Rey,San Joaquin,2.892857142857143
Cao,Porcelana,2.9
Dean and Deluca (Belcolade),Madagascar,2.9166666666666665
Tocoti,"Wild Bolivian, Jungle Love",2.9166666666666665
Momotombo,Matagalpa,2.9166666666666665
Marana,Piura,2.9166666666666665
Habitual,Papua New Guinea,2.9166666666666665
Vao Vao (Chocolaterie Robert),Madagascar,2.9166666666666665
Claudio Corallo,Terreiro Velho P.,2.9375
Belcolade,Costa Rica,2.9375
Olive and Sinclair,Dominican Republic prototype,2.9375
Pitch Dark,Tenor,2.9444444444444446
Violet Sky,Sambirano Valley,2.95
Santander (Compania Nacional),Colombian 2008,2.95
Bahen & Co.,Houseblend,2.95
Meadowlands,Bolivia,2.95
Hotel Chocolat (Coppeneur),Trinidad,2.973684210526316
Daintree,Goodman Estate,3.0
Malmo,Chuao,3.0
Taza,Belize,3.0
Rancho San Jacinto,Ecuador,3.0
Starchild,"Bolivar, Arriba",3.0
Mayacama,Hispaniola,3.0
Original Hawaiin Chocolate Factory,"Hawai'i, Kona Grand Cru E.",3.0
Xocolat,Hispaniola,3.0
Peppalo,Dominican Republic,3.0
Noir d' Ebine,Venezuela,3.0
Indi,Honduras,3.0
Orquidea,Peru,3.0
Stella (aka Bernrain),"Bahia, Agri-Forestal Plantation, 2010",3.0
Anahata,Elvesia,3.0
Sprungli (Felchlin),Alto Beni,3.0
Molucca,La Red,3.0
Middlebury,Maya Mountain,3.0
S.A.I.D.,Malgascio,3.0
Lilla,Madagascar,3.0
Indaphoria,La Red,3.0
Treehouse,Conacado,3.0
Chuao Chocolatier,Choroni,3.0
Kiskadee,"La Red, Guanconjeco",3.0
Breeze Mill,Jamaica,3.0
Ah Cacao,Tabasco,3.0
ChocoReko,Patanemo,3.0
Martin Mayer,Alto Beni,3.0
Sublime Origins,Sambirano,3.0
Lindt & Sprungli,Excellence (US Version),3.0
Millcreek Cacao Roasters,Ecuador,3.0
Nova Monda,"La Patriota, cacao Indio, purple label",3.0
Naï¿½ve,Nicaragua,3.0
The Barn,Peru,3.0
Sacred,Midnight,3.0
Haigh,South America and Africa,3.0
Coleman & Davis,Sambirano,3.0
Moho,"Toledo District, w/ nibs",3.0
Grand Place,"Ben Tre, Dong Nai",3.0
DAR,"Venezuela, batch 122",3.0
Emerald Estate,Emerald Estate,3.0
Vintage Plantations,San Martin,3.0
Edelmond,Porcelana,3.0
Two Ravens,Peru,3.0
Maglio,Africa,3.0
Pangea,Matasawalevu,3.0
Tejas,Concepcion,3.017857142857143
Madre,Guadalcanal,3.022727272727273
Kto,San Martin,3.0357142857142856
twenty-four blackbirds,Oko Caribe,3.0416666666666665
Guido Castagna,Arriba,3.05
hexx,Tanzania,3.05
Isidro,Madagascar,3.0625
Hogarth,Akesson's Estate,3.0625
Luker,Selva,3.0625
Tablette (aka Vanillabeans),Colombia,3.0625
Laia aka Chat-Noir,"Madagascar, Batch 59/100",3.075
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",3.078125
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",3.0833333333333335
Belyzium,"Belize south, low fermentation",3.0833333333333335
Spagnvola,AgroCriso Plantation,3.0833333333333335
Noble Bean aka Jerjobo,Ghana,3.0833333333333335
Goodnow Farms,"Almendra Blanca, batch 1004",3.0833333333333335
Ranger,"San Martin, Batch 2",3.0833333333333335
Chocovic,Xoconusco,3.09375
Cravve,New Ireland,3.107142857142857
Izard,"Maya Mountain, Toledo, Batch 29",3.125
Kakao,Peru,3.125
hello cocoa,Uganda,3.125
Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate w/ nibs",3.125
Blanxart,"Congo, Grand Cru",3.125
Silvio Bessone,Maya Belize,3.125
Malagasy (Chocolaterie Robert),Sambirano 2006,3.125
Coppeneur,"Ecuador, Puristique",3.125
L'Amourette,Rugoso,3.125
Bakau,"Bambamarca, 2015",3.125
Upchurch,"Madagascar, Sassy Bar",3.125
Choco Dong,"Mekong Delta, early 2014 Harvest",3.125
Raaka,Amazon Basin Blend,3.125
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",3.125
Ocho,Sang Yum Coop,3.125
Night Owl,Peru,3.125
Mast Brothers,Guatemala,3.125
Choco Del Sol,Maya Mountain w/ nibs,3.125
Pump Street Bakery,"Chocoan Rainforest, Teroro Escondido, ESM",3.125
Felchlin,Grenada,3.142857142857143
Compania de Chocolate (Salgado),Sur del Lago,3.15
Dark Forest,Bolivia,3.15
Burnt Fork Bend,Trinidad,3.15
Solstice,Bundibugyo,3.1666666666666665
Original Beans (Felchlin),Papua Kerafat,3.1666666666666665
Brazen,Elvesia P.,3.1666666666666665
Erithaj (A. Morin),Ben Tre,3.1666666666666665
Zart Pralinen,"Millot P., Ambanja",3.1666666666666665
Q Chocolate,Brazil,3.1666666666666665
Guittard,"Epique, Blend No. 49",3.1704545454545454
Michel Cluizel,"Chiapas, Mokaya P.",3.175
French Broad,"Norandino, batch 161208",3.175
Mars,"Matina 1-6, prototype",3.1875
Bright,Somia Plantation,3.1875
Dick Taylor,Lanquin Estate,3.1923076923076925
Caribeans,"Antigua, Special Reserve",3.2
Republica del Cacao (aka Confecta),Esmeraldas,3.2
Zak's,"Papua New Guinea, Batch 2",3.2083333333333335
Shark Mountain,Jamaica,3.2083333333333335
Mesocacao,El Salvador,3.2083333333333335
Willie's Cacao,Los Llanos,3.21875
Scharffen Berger,San Juan de Cheni,3.2205882352941178
Holy Cacao,Maranon,3.25
Doble & Bignall,Puerto Cabello,3.25
Raoul Boulanger,Piura,3.25
Britarev,Ecuador,3.25
Heirloom Cacao Preservation (Brasstown),"Maya Mtn, Moho R., Toledo D., 2015",3.25
Theobroma,"Piura Select, Cacao Blanc",3.25
Ambrosia,Belize,3.25
Emily's,Patanemo,3.25
Urzi,"Sur del Lago, Merida",3.25
Eau de Rose,Tumaco,3.25
Chocablog,Ecuador,3.25
Marigold's Finest,Cacao Nib Crunch,3.25
Choocsol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",3.25
Sol Cacao,"Ecuador, Batch 1",3.25
Cacaosuyo (Theobroma Inversiones),Piura,3.25
Cacao Store,Madagascar,3.25
Monsieur Truffe,Papaua New Guinea,3.25
Woodblock,"Maranon, Cajamarca",3.25
Charm School,Maya Mtn,3.25
DeVries,Bolivian,3.25
Cacao de Origin,Hacienda la Trinidad,3.25
Robert (aka Chocolaterie Robert),Madagascar,3.25
Adi,Vanua Levu,3.25
Tan Ban Skrati,"Paramaribo, batch 20160043-01",3.25
Chocosol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",3.25
To'ak (Ecuatoriana),Manabi,3.25
Vicuna,Palos Blancos,3.25
Metiisto,"Fazenda Sempre Firme P., Bahia",3.25
Roasting Masters,"La Dorado, light roast",3.25
Kah Kow,"Rizek Cacao, Cibao Valley, Domin. Rep.",3.25
Solomons Gold,Solomon Island,3.25
Dulcinea,Dominican Republic,3.25
El Ceibo,"Alto Beni, Covendo Region",3.25
Glennmade,"Toledo District, 2015 Harvest",3.25
Enric Rovira (Claudio Corallo),Terreiro Velho P.,3.25
La Pepa de Oro,Vinces,3.25
ENNA,"Wampusirpi, batch 007",3.25
Shattel,Tingo Maria,3.25
Castronovo,"Maya Mtn, Batch 454, Heirloom",3.267857142857143
Bittersweet Origins,Ghana,3.267857142857143
Pacari,"Sierra Nevada, Tutu Iku",3.269230769230769
Palette de Bine,Lachua,3.272727272727273
Map Chocolate,"Ben Tre, Surprise Valley",3.275
Pralus,Peru,3.28
"Chocolate Tree, The",Maranon,3.2916666666666665
Cacao de Origen,Chuao,3.2916666666666665
Carlotta Chocolat,Arauca,3.3
Zotter,Raw,3.3088235294117645
Parliament,Kilombero Valley,3.3125
Dandelion,"Zorzal Reserva, 2015 H., Kerchner",3.3125
Harper Macaw,"Vale do Juliana, w/ nibs",3.3125
Maverick,Maya Mountain,3.3125
Manoa,Markham Valley,3.3214285714285716
La Maison du Chocolat (Valrhona),"Cuana, 2013",3.325
Letterpress,"La Masica, Batch 7, FHIA",3.3333333333333335
Naive,Trinidad & Tobago,3.3333333333333335
Fossa,"Akesson's E., Sambirano V.",3.3333333333333335
Blue Bandana,"Akesson's E., Sambirano V.",3.3333333333333335
Valrhona,"Piura, Illanka, Quemazon",3.3333333333333335
Lillie Belle,Perfect Illusion,3.3333333333333335
Fruition,"Wild Bolivian, Batch 2",3.3333333333333335
Hummingbird,Lam Dong,3.34375
Nuance,"Ghana, 2013",3.35
Friis Holm (Bonnat),La Dalia,3.3541666666666665
Lonohana,"Haleiwa, O'ahu; Lonohana E., Kanahiku",3.375
Beschle (Felchlin),Madagascar,3.375
Sibu,Oro,3.375
Debauve & Gallais (Michel Cluizel),Papua New Guinea,3.375
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",3.375
Somerville,Nicaragua,3.375
Soul,Dominican Republic,3.375
K'ul,"Kafupbo, Petit Bourg, De Borgnes",3.375
A. Morin,Agua Grande,3.380434782608696
Fresco,"Maranon, #228, MR, SC",3.3846153846153846
Spencer,Dominican Republic,3.392857142857143
Frederic Blondeel,Costa Rica,3.4
Szanto Tibor,Nacional,3.4
Rogue,"La Masica, Batch 1, FHIA Research Center",3.40625
Sirene,Wild Bolivia,3.409090909090909
Wm,"Guasare, Zulia Prov., 2015, batch 124",3.4166666666666665
Bellflower,"Kakao Kamili, Kilombero Valley",3.4166666666666665
Danta,Los Ujuxtes,3.4166666666666665
Ethereal,Belize,3.4166666666666665
Omnom,"Kakao Kamili, Kilombero Valley",3.4166666666666665
Askinosie,Mababa,3.4166666666666665
Montecristi,Manabi,3.4166666666666665
Amano,Morobe,3.4166666666666665
Potomac,"Oko Caribe, Duarte Province, 2016 H.",3.4285714285714284
Bonnat,Selva Maya,3.435185185185185
Cacao Prieto,"Criollo, Dominican Republic",3.4375
Marou,"Tan Phu Dong Island, Heart of Darkness",3.45
Videri,Dominican Republic,3.45
Cacao Hunters,Macondo,3.4642857142857144
Pierre Marcolini,"Haut Penja, w/ nibs",3.4642857142857144
L.A. Burdick (Felchlin),Peru,3.4722222222222223
Domori,Hacienda Victoria,3.477272727272727
Lajedo do Ouro,Catongo,3.5
Shattell,Porcelana,3.5
AMMA,Catongo,3.5
Vietcacao (A. Morin),"Ben Tre, Mekong Delta, MoCay",3.5
Levy,Sambirano,3.5
Terroir,Peru,3.5
Chequessett,la Amistad,3.5
Manufaktura Czekolady,Johe,3.5
Heirloom Cacao Preservation (Mindo),"Pinchincha, Mindo, Coop Nueva Esper., 2015",3.5
Animas,Alto Beni,3.5
Malagos,"Davao, Mt. Talamo foothills",3.5
East Van Roasters,Peru,3.5
Chloe Chocolat,Blend No. 1,3.5
Heirloom Cacao Preservation (Millcreek),"Los Rios, Hacienda Limon, Orecao, 2015",3.5
Creo,"heirloom, Arriba Nacional",3.5
Condor,Camino Verde,3.5
Cloudforest,"Camino Verde P., Balao, Guayas, 2014",3.5
Minimal,"Acul-du-Nord, 2015",3.5
De Mendes,"Nativo, Varzea",3.5
Monarque,Oko Caribe,3.5
Duffy's,"Rio Dulce, Xoco",3.5
Durci,"Maranon, Joya Rara",3.5
Wellington Chocolate Factory,Conacado,3.5
Friis Holm,"Rugoso, Bad Fermentation",3.5
Green Bean to Bar,Madagascar,3.5
Metropolitan,South America,3.5
Heirloom Cacao Preservation (Manoa),"Maunawili, O'ahu, Agri Research C., 2015",3.5
Oialla by Bojessen (Malmo),"Sylvestre, Oialla",3.5
Nanea,Criollo Blend,3.5
Heirloom Cacao Preservation (Fruition),"Cota Brus, Terciopelo, 2015",3.5
Nugali,Fazenda Leolinda,3.5
Salgado,Bahia Superior,3.5
Stone Grindz,"Ecuador, Midnight Dark",3.5
Heirloom Cacao Preservation (Guittard),"Alto Beni, Upper Rio Beni, 2014",3.5
Muchomas (Mesocacao),Nicaragua,3.5
Batch,"Dominican Republic, Batch 3",3.5
Alexandre,"Winak Coop, Napo",3.5
Chocolate Makers,Tres Hombres,3.5
Cacao Market,"Jutiapa, lot 050916D",3.5
Park 75,South America,3.5
Rococo (Grenada Chocolate Co.),"Gru Grococo, St. Andrews",3.5
Tsara (Cinagra),"Ambanja, Tsara Valley",3.5
"Smooth Chocolator, The","Oko Caribe, DOR005",3.515625
Ritual,"Camino Verde P., Balao, 2015 harvest, batch8",3.5277777777777777
Arete,San Juan,3.534090909090909
Georgia Ramon,Akesson P.,3.55
Zokoko,Guadalcanal,3.55
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",3.5555555555555554
Soma,"Oko Caribe, Duarte P., Collab w Chocosol",3.5851063829787235
Bar Au Chocolat,Bahia,3.6
Captain Pembleton,"Saidor Estate, Madang P.",3.625
Mission,"Fazenda Camboa, Bahia",3.625
Franceschi,Choroni,3.625
Just Good Chocolate,Belize,3.6666666666666665
Cacao Sampaka,"Mahali, Kasai",3.6666666666666665
Madecasse (Cinagra),Madagascar,3.6875
Benoit Nihant,Baracoa,3.7083333333333335
Chocola'te,Madagascar,3.75
Dole (Guittard),"O'ahu, N. Shore, Waialua Estate",3.75
Christopher Morel (Felchlin),"Maranon Canyon, Fortunato No. 4",3.75
Obolo,Pangoa,3.75
Acalli,"Chulucanas, El Platanal",3.75
Timo A. Meyer,"Belize, med roast",3.75
Un Dimanche A Paris,Dominican Republic,3.75
Kerchner,"La Red, Project Reserva, Guaconejo",3.75
Idilio (Felchlin),"Chuao, Venezuela",3.775
Patric,Signature Blend,3.7916666666666665
Matale,"Malekula P., 2013",3.8125
Amedei,"Piura, Blanco de Criollo",3.8461538461538463
Heirloom Cacao Preservation (Zokoko),"Alto Beni, Upper Rio Beni, 2015",3.875
Ocelot,Virunga,3.875
Tobago Estate (Pralus),"Roxborough, Tobago",4.0
